@relation sentimental-analizer


@attribute texto string
@attribute quantAdjetivoPositivo numeric
@attribute quantAdjetivoNegativo numeric
@attribute quantVerboPositivo numeric
@attribute quantVerboNegativo numeric
@attribute classTrain {positivo, negativo, neutro}


@DATA
'A manipulação tá cada vez mais descarada https://t.co/mcQmMkj1ax\n&#3;',0,1,0,0,negativo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/b8hj0C1xtp\n&#3;',0,0,1,0,positivo
'@nedicr56 @KatiaAbreu Agora temos q suportá-los. Nós vamos d fora golpistas volta Dilma e eles d fora temer fora todos rsrsrs\n&#3;',0,1,1,3,negativo
'@nedicr56 @KatiaAbreu Agora temos q suportá-los. Nós vamos d fora golpistas volta Dilma e eles d fora temer fora todos rsrsrs\n&#3;',0,1,1,3,negativo
'Mais uma salva de palmas para quem apoiou o afastamento de Dilma... O Brasil está sem corrupção e cada vez... https://t.co/DyJt3njSmU\n&#3;',1,0,1,0,positivo
'Delação premiada na Lava Jato: Cerveró diz que Dilma mentiu sobre compra da refinaria de Pasadena: Cerveró di... https://t.co/5U8lJhJTUH\n&#3;',1,0,0,1,positivo
'Temer y Macri: el cinismo corriente https://t.co/mU92A9nYO7 vía @omartodavia\n&#3;',0,0,1,0,positivo
'@CLUIZBORGES @ptbrasil @dilmabr @queacreditaemvc @cap_FabioAraujo @BarbaNegra_mau @CapitaoHarris @Fascista1964 QUE MORRA DILMaaaaaaaa\n&#3;',0,0,0,0,neutro
'Todos os homens fortes ligados ao governo Lula/Dilma delataram a participação de ambos nos crimes.De extrema confiança hoje  são mentirosos.\n&#3;',2,1,0,0,positivo
'Quem diria! Senadora a favor da petista Dilma pode ser cassada por compra de votos https://t.co/slYTWDP9mm\n&#3;',0,0,0,0,neutro
'@ptbrasiI @MCCdoBrasil As mulheres estão fazendo revolução  vão derrubar Temer\n&#3;',0,1,1,1,negativo
'La izquierda Latinoamericana debemos reagruparnos y responder al ataque de la derecha. ¡Viva Dilma! ¡Viva Lula! https://t.co/WThJkHeykW\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/INoeza1Fk4\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/vTETrZZWxi\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/BlWgfx8czj\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/FanrKGhkG6\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/vVpMzgqEci\n&#3;',0,0,1,0,positivo
'👌🏻 https://t.co/5TDUxj3XGa\n&#3;',0,0,0,0,neutro
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/MG4mMrekhm\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/M7AUZLUD5g\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/XKu2v9Y56E\n&#3;',0,0,1,0,positivo
'Blog TV PE: Ministro do STF anula exoneração de chefe da TV Brasil e Temer decide recorrer https://t.co/rpm5febJ3A\n&#3;',0,0,2,0,positivo
'É por aí! Quem é contra  acompanha a ex-chefe. Some do mapa! https://t.co/DChwvEKGaf\n&#3;',0,0,0,0,neutro
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/GareljGsyx\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/0FYsSciYfr\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/1u5AXk4mO1\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/wXGbctEeBt\n&#3;',0,0,1,0,positivo
'Em delação  Cerveró diz que Dilma mentiu sobre Pasadena https://t.co/npd1Y3JMuF\n&#3;',0,0,0,1,negativo
'Em ato no RJ  Dilma critica secretária das mulheres e lembra estupro coletivo https://t.co/ZOQIIORm8f\n&#3;',0,0,1,0,positivo
'@Marcos49Fs @Drikaakashi @BelCarvalho5 @jjc_carvalho @mauriciomacri @joseserra_ @MichelTemer É sério? Existe algum motivo para isso?\n&#3;',1,0,0,0,positivo
'Sumiram computadores do BB na saída de Dilma :: https://t.co/OOkrR5heeL https://t.co/94IwGPzRRJ via @webnode\n&#3;',0,0,0,0,neutro
'Antonio Palocci  Dilma  Guido Mantega  Edson Lobão  Lula  Color e Idelixo Salvati tinham que mofar na cadeia.\n&#3;',0,0,0,0,neutro
'https://t.co/94IwGPzRRJ\n&#3;',0,0,0,0,neutro
'#johnbeta Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coleti... https://t.co/FZXYV0XIpZ\n&#3;',0,0,1,0,positivo
'Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro coletivo: No RJ ... https://t.co/pt9fNi9LgU\n&#3;',0,0,1,0,positivo
'#johnbeta2 Delação premiada na Lava Jato: Cerveró diz que Dilma mentiu sobre compra da refinaria de Pasadena:... https://t.co/Utr9jyYCYF\n&#3;',1,0,0,1,positivo
'#johnbeta2 Frente feminina  faz protesto: No RJ  Dilma critica secretária das mulheres e lembra estupro colet... https://t.co/YgUPLhhzJ0\n&#3;',0,0,1,0,positivo
'@fgt_jaque @mrswinterr ai miga  dsclp  mas quero ver a Dilma em POA... VEM AGORA  SABEMOS DORMIR DE CONCHINHA TBM RS\n&#3;',0,0,0,0,neutro
'mazáaaaa ... FODÃO !!! https://t.co/MVvMwFrJfc\n&#3;',0,0,0,0,neutro
'Clique  acesse e leia em https://t.co/94IwGPzRRJ\n&#3;',0,0,0,0,neutro
'@implicante_org Eu prefiro o Frankstemer errando três  Do que a Dilma acertando sete.\n&#3;',0,0,1,1,neutro
'https://t.co/hBaT5aD4AVAlvíssaras ! Gostei dessa matéria !\n&#3;',0,0,1,0,positivo
'@shelruizb vai detonar o temer sim ou claro? Kkkkkkkkk\n&#3;',0,0,1,0,positivo
'Temer en la cuerda floja - Brecha\n&#3;',0,0,1,0,positivo
'@Sandra20102010 @FAXINANOPODER_ @MichelTemer @claudiotognolli @BlogDoPim @JornalOGlobo Não se podia esperar mudança de rota de 180º...\n&#3;',0,1,0,0,negativo
'@TaniguchiMM Você pensa correto o impeachment da Dilma Rousseff? Avalia a sua presidência de 1 a 5 estrelas aqui: https://t.co/Elg5Klidun\n&#3;',1,0,0,0,positivo
'É né  https://t.co/iAOFOEXXXm\n&#3;',0,0,0,0,neutro
'ENCURRALADO: Temer não vê saída e pode anunciar CPMF; FIESP se revolta https://t.co/eC8hOG9RLJ via @Click Política\n&#3;',0,1,2,0,positivo
'Temer en la cuerda floja - Brecha\n&#3;',0,0,1,0,positivo
'Temer en la cuerda floja - Brecha\n&#3;',0,0,1,0,positivo
'Já que o @SenadoFederal rasgaram a constituição  que o @STF_oficial coloque ordem no galinheiro do Temer https://t.co/fWW86TsUc5\n&#3;',0,0,1,0,positivo
'Olha  a cada dia sinto que o @MichelTemer está conseguindo ir além da vergonha do 7x1 https://t.co/HSIyAvPjjX\n&#3;',0,0,0,0,neutro
'V9y a temer que pagar lo prestado si :/\n&#3;',0,0,1,0,positivo
'Em protesto  defesa de Dilma abandona comissão do impeachment https://t.co/r6W2wsQLPK via @veja\n&#3;',0,0,0,1,negativo
'Sumiram computadores do BB na saída de Dilma via @DiariodoPoder - https://t.co/2tJRfj6vE1\n&#3;',0,0,0,0,neutro
'Sumiram computadores do BB na saída de Dilma via @DiariodoPoder - https://t.co/4P5Mm4h2ng\n&#3;',0,0,0,0,neutro
'Temer en la cuerda floja - Brecha\n&#3;',0,0,1,0,positivo
'Estranho isso  não é mesmo!? 🤔 https://t.co/aUwXDFua0D\n&#3;',0,1,0,0,negativo
'@DafVinhaes Filho do Temer tem sete anos e tem dois milhões em imóveis. Xeque-mate!\n&#3;',0,1,1,0,positivo
'@dilmabr Mais MENTIRAS #VAZA\n&#3;',0,0,0,0,neutro
'@Sandra20102010 @FAXINANOPODER_ @MichelTemer @claudiotognolli @BlogDoPim @JornalOGlobo ...PT e PMDB governavam juntos!!!\n&#3;',0,0,0,0,neutro
'@dilmabr @KatiaAbreu @AllaSheffer eu juro q acreditei q era invenção  fui lá e é verdade  a prova da mentira https://t.co/YSWZPNKCTJ\n&#3;',0,0,1,0,positivo
'na capa temos eu  gustavo  dilma e + algumas pessoas\n&#3;',0,0,0,0,neutro
'Se o mar se enfurecer eu nao tenho que temer\n&#3;',0,0,1,1,neutro
'O dia em que eu temer  hei de confiar ti\n&#3;',0,0,2,0,positivo
'#LoMasLeido ¡Teme hostigamientos! Michel Temer cerca con vallas su residencia particular https://t.co/Cplpbai7q0 https://t.co/9oNeO6wG8d\n&#3;',0,0,1,0,positivo
'Escrevo SIM e o corretor manda DILMA 😂😂😂😂\n&#3;',0,0,0,0,neutro
'Você já transou no governo Temer???\n&#3;',0,0,1,0,positivo
'Rombo Bilionário: Golpismo De Temer Leva Europeus A Exigir Ruptura Da UE Com O Mercosul https://t.co/Bngc7YbEC9\n&#3;',0,0,1,0,positivo
'#governoeleito = @dilmabr  https://t.co/GZWcfZXrwk\n&#3;',0,0,0,0,neutro
'Foda  né? Esse jornalismo brasileiro... https://t.co/Kw30S75Q9P\n&#3;',0,0,0,0,neutro
'Dilma  o Brasil não aguenta mais ser Sucateado para vocês enriquecerem e nós agonizarmos! Pasadena 1 só! #PassaDilma https://t.co/ejgOyI8Aac\n&#3;',0,0,1,0,positivo
'Me desculpa pela falta de respeito de alguns.. #방탄소년단 ~BR #LoveBTS  https://t.co/qwna659RGB\n&#3;',0,1,0,0,negativo
'Rede GOLPE safada.... https://t.co/MdGxvTVQuj\n&#3;',0,1,0,0,negativo
'Temos que aplaudir!Pela Primeira vez disse algo que presta. https://t.co/eJB7HK6CNe\n&#3;',1,0,0,0,positivo
'Piada pronta do Portal 247: Dilma: Sei que sou um grande incômodo para os golpistas.\n&#3;',0,2,0,0,negativo
'Deus reclama de excesso de orações pedindo Temer como patrão  após aumento em plena crise https://t.co/RMu19kcm69 via @Sensacionalista\n&#3;',0,0,1,0,positivo
'Villa: Se Dilma voltar  o Brasil vai virar uma Venezuela https://t.co/Oi0xSGeJdt via @veja\n&#3;',0,0,0,0,neutro
'E a BandNews golpista diz que Ceveró afirma que Dilma MENTIU sobre Pasadena! Jornalismo vergonha nacional.  https://t.co/WRXtbC3vx2\n&#3;',0,1,0,1,negativo
'Deus reclama de excesso de orações pedindo Temer como patrão  após aumento em plena crise https://t.co/NjZBS4ZMYy via @Sensacionalista\n&#3;',0,0,1,0,positivo
'Surrealismo: Temer  o Presidente ficha-suja e inelegível. https://t.co/I8tt2QuACA\n&#3;',0,1,1,0,positivo
'https://t.co/qvOkIm24Zh“cheque-sem-fundos”-no-Minha-Casa-Minha-Vida\n&#3;',0,0,0,0,neutro
'Cerveró afirma que Graça Foster lhe disse que estava ali para defender a Dilma https://t.co/RdqZzPyolU\n&#3;',0,0,0,0,neutro
'Temer diz a TV que encontrou uma radiografia muito negativa ao chegar no governo https://t.co/yTHQiylxDb\n&#3;',0,1,1,0,positivo
'Sumiram computadores do BB na saída de Dilma :: https://t.co/YOabyuBdmY https://t.co/3MKe6PsUn9 via @webnode\n&#3;',0,0,0,0,neutro
'@samantapersotti Você pensa correto o impeachment da Dilma Rousseff? Avalia a sua presidência de 1 a 5 estrelas aq… https://t.co/g9gKI5f5Fz\n&#3;',1,0,0,0,positivo
'. @dilmabr melhor pessoa ❤️\n&#3;',1,0,0,0,positivo
